HitRate, AccessCounter
99.13, 460
99.13, 461
99.14, 462
99.14, 463
99.14, 464
99.14, 465
99.14, 466
99.15, 467
99.15, 468
99.15, 469
99.15, 470
99.15, 471
99.15, 472
99.16, 473
99.16, 474
99.16, 475
99.16, 476
99.16, 477
99.16, 478
99.17, 479
99.17, 480
99.17, 481
99.17, 482
99.17, 483
99.18, 484
99.18, 485
99.18, 486
99.18, 487
99.18, 488
99.18, 489
99.19, 490
99.19, 491
99.19, 492
99.19, 493
99.19, 494
99.19, 495
99.2, 496
99.2, 497
99.2, 498
99.2, 499
99.2, 500
99.2, 501
99.2, 502
99.21, 503
99.21, 504
99.21, 505
99.21, 506
99.21, 507
99.21, 508
99.22, 509
99.22, 510
99.22, 511
99.22, 512
99.22, 513
99.22, 514
99.22, 515
99.23, 516
99.23, 517
99.23, 518
99.23, 519
99.23, 520
99.23, 521
99.24, 522
99.24, 523
99.24, 524
99.24, 525
99.24, 526
99.24, 527
99.24, 528
99.25, 529
99.25, 530
99.25, 531
99.25, 532
99.25, 533
99.25, 534
99.25, 535
99.26, 536
99.26, 537
99.26, 538
99.26, 539
99.26, 540
99.26, 541
99.26, 542
99.26, 543
99.27, 544
99.27, 545
99.27, 546
99.27, 547
99.27, 548
99.27, 549
99.27, 550
99.28, 551
99.28, 552
99.28, 553
99.28, 554
99.28, 555
99.28, 556
99.28, 557
99.28, 558
99.29, 559
99.29, 560
99.29, 561
99.29, 562
99.29, 563
99.29, 564
99.29, 565
99.29, 566
99.3, 567
99.3, 568
99.3, 569
99.3, 570
99.3, 571
99.3, 572
99.3, 573
99.3, 574
99.31, 575
99.31, 576
99.31, 577
99.31, 578
99.31, 579
99.31, 580
99.31, 581
99.31, 582
99.32, 583
99.32, 584
99.32, 585
99.32, 586
99.32, 587
99.32, 588
99.32, 589
99.32, 590
99.32, 591
99.33, 592
99.33, 593
99.33, 594
99.33, 595
99.33, 596
99.33, 597
99.33, 598
99.33, 599
99.33, 600
99.34, 601
99.34, 602
99.34, 603
99.34, 604
99.34, 605
99.34, 606
99.34, 607
99.34, 608
99.34, 609
99.35, 610
99.35, 611
99.35, 612
99.35, 613
99.35, 614
99.35, 615
99.35, 616
99.35, 617
99.35, 618
99.35, 619
99.36, 620
99.36, 621
99.36, 622
99.36, 623
99.36, 624
99.36, 625
99.36, 626
99.36, 627
99.36, 628
99.37, 629
99.37, 630
99.37, 631
99.37, 632
99.37, 633
99.37, 634
99.37, 635
99.37, 636
99.37, 637
99.37, 638
99.38, 639
99.38, 640
99.38, 641
99.38, 642
99.38, 643
99.38, 644
99.38, 645
99.38, 646
99.38, 647
99.38, 648
99.38, 649
99.39, 650
99.39, 651
99.39, 652
99.39, 653
99.39, 654
99.39, 655
99.39, 656
99.39, 657
99.39, 658
99.39, 659
99.39, 660
99.4, 661
99.4, 662
99.4, 663
99.4, 664
99.4, 665
99.4, 666
99.4, 667
99.4, 668
99.4, 669
99.4, 670
99.4, 671
99.41, 672
99.41, 673
99.41, 674
99.41, 675
99.41, 676
99.41, 677
99.41, 678
99.41, 679
99.41, 680
99.41, 681
99.41, 682
99.42, 683
99.42, 684
99.42, 685
99.42, 686
99.42, 687
99.42, 688
99.42, 689
99.42, 690
99.42, 691
99.42, 692
99.42, 693
99.42, 694
99.43, 695
99.43, 696
99.43, 697
99.43, 698
99.43, 699
99.43, 700
99.43, 701
99.43, 702
99.43, 703
99.43, 704
99.43, 705
99.43, 706
99.44, 707
99.44, 708
99.44, 709
99.44, 710
99.44, 711
99.44, 712
99.44, 713
99.44, 714
99.44, 715
99.44, 716
99.44, 717
99.44, 718
99.44, 719
99.45, 720
99.45, 721
99.45, 722
99.45, 723
99.45, 724
99.45, 725
99.45, 726
99.45, 727
99.45, 728
99.45, 729
99.45, 730
99.45, 731
99.45, 732
99.46, 733
99.46, 734
99.46, 735
99.46, 736
99.46, 737
99.46, 738
99.46, 739
99.46, 740
99.46, 741
99.46, 742
99.46, 743
99.46, 744
99.46, 745
99.46, 746
99.47, 747
99.47, 748
99.47, 749
99.47, 750
99.47, 751
99.47, 752
99.47, 753
99.47, 754
99.47, 755
99.47, 756
99.47, 757
99.47, 758
99.47, 759
99.47, 760
99.48, 761
99.48, 762
99.48, 763
99.48, 764
99.48, 765
99.48, 766
99.48, 767
99.48, 768
99.48, 769
99.48, 770
99.48, 771
99.48, 772
99.48, 773
99.48, 774
99.48, 775
99.49, 776
99.49, 777
99.49, 778
99.49, 779
99.49, 780
99.49, 781
99.49, 782
99.49, 783
99.49, 784
99.49, 785
99.49, 786
99.49, 787
99.49, 788
99.49, 789
99.49, 790
99.49, 791
99.5, 792
99.5, 793
99.5, 794
99.5, 795
99.5, 796
99.5, 797
99.5, 798
99.5, 799
99.5, 800
99.5, 801
99.5, 802
99.5, 803
99.5, 804
99.5, 805
99.5, 806
99.5, 807
99.51, 808
99.51, 809
99.51, 810
99.51, 811
99.51, 812
99.51, 813
99.51, 814
99.51, 815
99.51, 816
99.51, 817
99.51, 818
99.51, 819
99.51, 820
99.51, 821
99.51, 822
99.51, 823
99.52, 824
99.52, 825
99.52, 826
99.52, 827
99.52, 828
99.52, 829
99.52, 830
99.52, 831
99.52, 832
99.52, 833
99.52, 834
99.52, 835
99.52, 836
99.52, 837
99.52, 838
99.52, 839
99.52, 840
99.52, 841
99.53, 842
99.53, 843
99.53, 844
99.53, 845
99.53, 846
99.53, 847
99.53, 848
99.53, 849
99.53, 850
99.53, 851
99.53, 852
99.53, 853
99.53, 854
99.53, 855
99.53, 856
99.53, 857
99.53, 858
99.53, 859
99.54, 860
99.54, 861
99.54, 862
99.54, 863
99.54, 864
99.54, 865
99.54, 866
99.54, 867
99.54, 868
99.54, 869
99.54, 870
99.54, 871
99.54, 872
99.54, 873
99.54, 874
99.54, 875
99.54, 876
99.54, 877
99.54, 878
99.55, 879
99.55, 880
99.55, 881
99.55, 882
99.55, 883
99.55, 884
99.55, 885
99.55, 886
99.55, 887
99.55, 888
99.55, 889
99.55, 890
99.55, 891
99.55, 892
99.55, 893
99.55, 894
99.55, 895
99.55, 896
99.55, 897
99.56, 898
99.56, 899
99.56, 900
99.56, 901
99.56, 902
99.56, 903
99.56, 904
99.56, 905
99.56, 906
99.56, 907
99.56, 908
99.56, 909
99.56, 910
99.56, 911
99.56, 912
99.56, 913
99.56, 914
99.56, 915
99.56, 916
99.56, 917
99.56, 918
99.57, 919
99.57, 920
99.57, 921
99.57, 922
99.57, 923
99.57, 924
99.57, 925
99.57, 926
99.57, 927
99.57, 928
99.57, 929
99.57, 930
99.57, 931
99.57, 932
99.57, 933
99.57, 934
99.57, 935
99.57, 936
99.57, 937
99.57, 938
99.57, 939
99.57, 940
99.58, 941
99.58, 942
99.58, 943
99.58, 944
99.58, 945
99.58, 946
99.58, 947
99.58, 948
99.58, 949
99.58, 950
99.58, 951
99.58, 952
99.58, 953
99.58, 954
99.58, 955
99.58, 956
99.58, 957
99.58, 958
99.58, 959
99.58, 960
99.58, 961
99.58, 962
99.59, 963
99.59, 964
99.59, 965
99.59, 966
99.59, 967
99.59, 968
99.59, 969
99.59, 970
99.59, 971
99.59, 972
99.59, 973
99.59, 974
99.59, 975
99.59, 976
99.59, 977
99.59, 978
99.59, 979
99.59, 980
99.59, 981
99.59, 982
99.59, 983
99.59, 984
99.59, 985
99.59, 986
99.6, 987
99.6, 988
99.6, 989
99.6, 990
99.6, 991
99.6, 992
99.6, 993
99.6, 994
99.6, 995
99.6, 996
99.6, 997
99.6, 998
99.6, 999
99.6, 1000
99.6, 1001
99.6, 1002
99.6, 1003
99.6, 1004
99.6, 1005
99.6, 1006
99.6, 1007
99.6, 1008
99.6, 1009
99.6, 1010
99.6, 1011
99.61, 1012
99.61, 1013
99.61, 1014
99.61, 1015
99.61, 1016
99.61, 1017
99.61, 1018
99.61, 1019
99.61, 1020
99.61, 1021
99.61, 1022
99.61, 1023
99.61, 1024
99.61, 1025
99.61, 1026
99.61, 1027
99.61, 1028
99.61, 1029
99.61, 1030
99.61, 1031
99.61, 1032
99.61, 1033
99.61, 1034
99.61, 1035
99.61, 1036
99.61, 1037
99.62, 1038
99.62, 1039
99.62, 1040
99.62, 1041
99.62, 1042
99.62, 1043
99.62, 1044
99.62, 1045
99.62, 1046
99.62, 1047
99.62, 1048
99.62, 1049
99.62, 1050
